Product type,Advertiser/product,Title,Plot/notes,Views,Likes,Relative_Search_Popularity,Peaked,familiarity_increase,momentum_increase,quality_increase,consideration_increase,awareness_increase,yougov_ranking,Celebrity
Cosmetics and personal care,CeraVe,"""Michael CeraVe""","Michael Cera attempts to take credit for the development of CeraVe moisturiser because it has ""Cera"" in its name.",3479994.0,19179.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
Cosmetics and personal care,Dove,"""Hard Knocks""","Starts with footage of girls falling down and taking bumps while playing sports, then shows the message ""45% of girls quit sports by age 14"" and ""Together we can keep them in the game. Join the Body Confident Sport program"".",452530.0,1527.0,70,False,0.0,0.0,0.0,0.0,0.0,9,False
Cosmetics and personal care,e.l.f.,"""In e.l.f. We Trust""",Judy Sheindlin presides over Judge Beauty—a court show dealing in cases involving cosmetics.,7939707.0,371.0,48,False,5.3,0.0,0.0,5.2,0.0,0,True
Car,BMW,"""Talkin' Like Walken""","As he goes about his day, Christopher Walken repeatedly gets accosted by various people trying to emulate his distinct style of speaking, much to his annoyance.",71652.0,594.0,90,False,0.0,0.0,0.0,0.0,0.0,0,True
Car,Volkswagen,"""An American Love Story""","Celebrates the 75th anniversary of Volkswagen. Starting with black-and-white styled footage of the cars being introduced in 1949, and later videos of owners enjoying various Volkswagen vehicles. Features Neil Diamond's song ""I Am... I Said"".",12140.0,94.0,85,False,0.0,0.0,0.0,0.0,7.7,3,False
Car,Toyota Tacoma,"""Dareful Handle""","As people drive aggressively off-road, the passengers grip the handle in fear and make remarks that the announcer repeats as nicknames for the handle.",11342.0,82.0,82,False,0.0,0.0,0.0,0.0,0.0,0,False
Car,Kia EV9,"""Perfect 10""","A young figure skater participates in a regional competition, being cheering on by her father, but there is a noticeable empty seat next to him. After driving home, the dad uses the EV9's power station to light up an icy pond and speakers so she can perform in front of her wheelchair-bound grandfather.",2774.0,9.0,88,False,0.0,0.0,0.0,0.0,0.0,0,False
Car,Kawasaki Ridge,"""Mullets""","As two friends start driving a Ridge, they grow mullets and go through some backcountry trails. They pass animals, which also grow mullets. They even pass Stone Cold Steve Austin.",46858.0,190.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
FIlm,Wicked,Trailer,Trailer,6854650.0,136106.0,100,True,7.3,0.0,0.0,9.1,0.0,0,True
Food,Doritos,"""Dina & Mita""","Jenna Ortega goes to the supermarket with her grandmothers, Dina and Mita, with the intention of getting a bag of Doritos Dinamita. After learning that the last bag has already been bought by Danny Ramirez, Dina and Mita fight with Ramirez to retrieve the bag from him. The grandmothers are eventually successful but get upstaged by Ortega, who takes the bag for herself.",32518.0,229.0,68,False,4.3,0.0,0.0,0.0,0.0,0,True
Food,Dunkin' Donuts,"""The DunKings""","Ben Affleck decides to launch a new career as a pop star, despite his own incompetence at anything related to music and the advice of people trying to dissuade him. He interrupts his wife Jennifer Lopez's recording of her latest album to promote the DunKings, the new boy band that he has formed with his friends Tom Brady and Matt Damon. Lopez shuts down Affleck's attempt to get him to sing a track on the album, but lets Brady stay.",159961.0,346.0,97,False,0.0,6.7,0.0,4.3,8.3,2,True
Food,Drumstick,"""Doctor on the Plane""",Eric André is boarding on a plane but the flight attendant found out that he got sick until a plastic doll named Dr. Umstick gives him and everyone a Drumstick ice cream as a cure on board.,3957.0,24.0,60,False,0.0,0.0,8.6,0.0,0.0,0,True
Food,Oreo,"""Twist On It""","Similar to flipping a coin, people make decisions by twisting an Oreo cookie to see which wafer continues to adhere to the cream filling.",2268956.0,572.0,49,False,0.0,6.2,5.0,0.0,0.0,0,True
Food,Lindt,"""Life is a Ball""","Playing to Perry Como's performance of ""Round and Round"", a Lindor chocolate follows along the song's lyrics as people trying out the chocolate, along with a brief glance of the chocolate-making process.",2127784.0,471.0,32,False,0.0,0.0,0.0,0.0,0.0,0,False
Food,Reese's Caramel Big Cups,"""Big Cups YES!""",Viewers at a suburban living room alternate between being extremely upset and extremely ecstatic when they hear what Reese's is doing with their peanut butter cups.,2753525.0,178.0,100,True,0.0,0.0,4.5,0.0,0.0,0,False
Food,M&Ms,"""Almost Champions Ring of Comfort""","The M&M characters use the peanut butter present in Peanut Butter M&Ms and form them into diamonds via compression. The diamonds are used to create an ""Almost Champions Ring of Comfort"" to award football players who almost won Super Bowls, as well as Scarlett Johansson, who lost two Oscar races in the same year.",109754.0,361.0,35,False,4.3,0.0,0.0,0.0,0.0,0,False
Food,Pringles,"""Mr. P""","After a grocery store employee notes that he looks like ""the Pringles guy"", a mustachioed Chris Pratt begins to trend on the Internet, leading to him landing a role in a film about the Pringles mascot, Mr. P.",21074.0,51.0,70,False,0.0,0.0,0.0,0.0,0.0,0,True
Food,Hellmann's/Best Foods,"""Mayo Cat""","Kate McKinnon, unsure of what to do with her leftovers, is helped by her cat who points to a jar of Hellmann's mayo. The cat becomes a phenomenon, with everyone scrambling to buy Hellmann's mayo due to the cat's advice.",14580.0,73.0,11,False,0.0,0.0,0.0,0.0,0.0,0,True
Food,Nerds Gummy Clusters,"""Flashdance...What a Feeling""","A large gummy nerd performs the ""Flashdance... What a Feeling"" audition dance. Also features Addison Rae.",357101.0,1517.0,100,True,4.3,0.0,0.0,0.0,0.0,0,True
Insurance,State Farm,"""Like a good neighbaaa""""Agent State Farm""","Arnold Schwarzenegger plays a State Farm agent in a blockbuster film, but struggles to pronounce the word ""neighbor"" correctly while filming his scenes due to his heavy Austrian accent, despite help from the director and Jake from State Farm. Eventually, the production comes a compromise by having Danny DeVito say the line instead. This ad topped the Ad Meter survey.",51856.0,396.0,92,False,0.0,11.1,8.3,10.2,6.5,0,True
Online gambling,FanDuel,"""Kick of Destiny 2""","Carl Weathers, John Cena, and several others watch TV to see Rob Gronkowski attempting to kick a field goal. It had been adjusted at the end to honor Weathers who died.",220980.0,528.0,94,False,6.4,7.2,0.0,0.0,0.0,0,True
Online gambling,BetMGM,"""Tom Has Won Enough""","Vince Vaughn promotes BetMGM as the sports betting service for everyone but Tom Brady, since he's already ""won enough"".",23155.0,88.0,51,False,0.0,0.0,0.0,0.0,0.0,0,True
Retail,Bass Pro Shops,"""Making Memories on the Water""",Promotes Tracker fishing and pontoon boats.,107328.0,205.0,42,False,0.0,0.0,0.0,0.0,0.0,0,False
Pharmaceutical,Pfizer,Here's to Science,"Various paintings, sculptures, and photographs of members of the science community lip synch to Queen's Don't Stop Me Now.",1587.0,13.0,0,False,6.8,6.0,0.0,0.0,0.0,0,False
Restaurant,Popeyes,"""Popeyes Finally Has Wings""","Howie (played by Ken Jeong) was released from a fifty-year  cryosleep when a group scientists gave him a box of Popeyes wings while he discovers the future such as kick scooters, drones, etc.",4256.0,24.0,71,False,0.0,12.5,0.0,0.0,7.1,8,True
Shoes,Skechers,"""There's No 'T' in Skechers""","Mr. T shows Tony Romo how he wears Skechers Slip-Ins where there's no ""T"" in Skechers.",5678.0,18.0,68,False,7.3,0.0,0.0,7.3,0.0,0,True
Beverage,Starry,"""Love Triangle""","Ice Spice appears with Starry mascots, Lem and Lime, before being confronted by her ex, lemon lime soda (represented by a man wearing a blurred out t-shirt, supposedly for Sprite), and tries to plead her to return. Ice Spice, however, tells him that she is now with Starry, resulting in her ex having a meltdown, with lemon lime soda spewing out of his head like a geyser.",15665.0,155.0,49,False,0.0,0.0,0.0,0.0,6.4,0,True
Beverage,Mountain Dew Baha Blast,"""Having a Blast""",Aubrey Plaza talks about having a blast where she is in different exciting scenarios yet still acting deadpan.,19171.0,246.0,53,False,0.0,0.0,0.0,0.0,0.0,0,True
Beverage,Poppi,"""The Future of Soda is Now""","With major inventions happening throughout history, Poppi wants you to rethink flavored soda.",,,100,True,4.3,0.0,0.0,0.0,0.0,0,False
Beverage,Bud Light,"""Easy Night Out""",The Bud Light Genie fulfills wishes.,207754.0,422.0,4,False,0.0,0.0,5.7,0.0,0.0,10,True
Beverage,Coors Light,"""The Return of the Coors Light Chill Train""","The Coors Light Chill Train makes its return after 12 years, passing and freezing folks along the way and eventually crashing through the living room of a family, where it is revealed LL Cool J is the conductor.",5791.0,31.0,43,False,0.0,0.0,0.0,0.0,0.0,0,True
Beverage,Budweiser,"""Old School Delivery""","In a snowy day, a hitch was set up with the Budweiser Clydesdales to deliver beer a bar that lost power during a snow storm.",61194.0,218.0,22,False,0.0,0.0,0.0,9.3,8.2,4,False
Beverage,Michelob Ultra,"""Superior Beach""",Lionel Messi plays beach soccer while waiting for the Michelob Ultra draft tap to be changed. Also has cameos from Jason Sudeikis and Dan Marino.,18749.0,52.0,62,False,0.0,0.0,0.0,0.0,7.6,5,True
Television,The Boys,"""A Love Letter to America""",Homelander shows a message to fellow Americans in a fictional commercial for an Energy drink called Turbo Rush.,355597.0,2041.0,9,False,0.0,0.0,0.0,0.0,0.0,0,False
Television,NFL Sunday Ticket,"""Migration""","Birdwatchers follows along Baltimore Ravens, Seattle Seahawks, and Philadelphia Eagles players in bird-like behaviors as the migrate away while the NFL season concludes.",912907.0,4607.0,3,False,0.0,0.0,0.0,0.0,0.0,0,True
Television,Paramount+,Knuckles,TV Trailer,14209112.0,231146.0,100,True,0.0,0.0,0.0,0.0,0.0,0,False
Television,Paramount+,"""Hail Patrick""","In order to ascend Paramount Mountain, Patrick Stewart changes into old football gear and throws Arnold Shortman (Hey Arnold!). Also features Tua Tagovailoa, Drew Barrymore, Knuckles, Lt. Jim Dangle (Reno 911, Thomas Lennon), and Creed.",14410990.0,35304.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
Television,FX,Shogun,TV Trailer,,,10,False,0.0,0.0,0.0,0.0,0.0,0,False
Wireless,T-Mobile,"""Auditions""","Various actors (Bradley Cooper and his mother, Patrick J. Adams and Gabriel Macht, Laura Dern, Jennifer Hudson, and Common) audition to get Magenta status for T-Mobile.",56166663.0,2454.0,54,False,0.0,0.0,0.0,0.0,7.2,6,True
Wireless,T-Mobile,"""That Home Internet Feeling""","Zach Braff and Donald Faison sing ""Flashdance...What a Feeling"" with their new neighbor Jason Momoa to celebrate Momoa getting home internet, while Jennifer Beals looks on in approval.",57328369.0,13005.0,54,False,0.0,0.0,0.0,0.0,7.2,6,True
Wireless,Verizon,"""Can't B Broken""","Beyoncé attempts to break the Internet by doing increasingly over-the-top stunts to no avail, ending with her asking to ""drop the new music"".",18033.0,463.0,9,False,0.0,10.2,8.0,0.0,0.0,0,True
Wireless,Google Pixel 8,"""Javier in Frame""","Despite being visually impaired, Javier is able to use his camera phone to take pictures as the phone prompts him that there are faces in the frame. Stevie Wonder narrates the ad.",50327223.0,4698.0,30,False,0.0,0.0,0.0,0.0,0.0,0,False
Website,Squarespace,"""Hello Down There""","A group of aliens land on Earth, only to be ignored by the human populace who are too busy looking at their phones to care. To get the humans' attention, the aliens decide to make a website about themselves and broadcast it to every screen on Earth, including that of Martin Scorsese.",25775077.0,30740.0,77,False,0.0,0.0,0.0,5.0,0.0,0,False
Website,Etsy,"""Thank you, France""","As France delivers the Statue of Liberty, the Americans look to Etsy's ""gift mode"" to reciprocate. One of the folks suggests cheese and they gift them that on a cheese board.",22189.0,110.0,54,False,0.0,0.0,0.0,0.0,0.0,0,False
Website,Apartments.com,"""Extraterrestrials""","Fearsome-looking space aliens approach and are asked what their purpose is, but Brad Bellflower (Jeff Goldblum) helps translate that they are looking for apartments and suggests some listings.",1350110.0,10.0,19,False,0.0,11.6,0.0,0.0,0.0,0,True
Website,doordash.com,"""DoorDash All the Ads""","An advertisement showcasing a promotion, in which using the code ""DOORDASH-ALL-THE-ADS-2024"" at the website Doordash-All-The-Ads.com would enter you in to win items from the previous ads. The promo code then gets insanely long, including all of the products that were advertised.",,,90,False,0.0,0.0,0.0,0.0,0.0,0,False
Website,Disney+,"""Well Said""""Well Thank You""",Black text showing quotes from various movies that are available on Disney+ on a white background.,2918775.0,2034.0,29,False,0.0,13.8,6.8,0.0,0.0,0,False
Website,Snapchat,"""Less social media. More Snapchat""","Shows various pictures and videos with changing tag lines about more this and less that, with the more this being something fairly negtive. Halfway through, it changes the tagline to less this more that, where the more that is more positive. Eventually it emphasizes the phrase ""less likes, more love"", and ""Less social media. More Snapchat.""",3803.0,7.0,1,False,0.0,0.0,0.0,0.0,7.3,0,False
Services,Homes.com,"""Launch""""Now That's Worth Celebrating""","Having taken over his great uncle's company, Luke (Dan Levy) and his assistant Marci (Heidi Gardner) meet with their executive team and assures them that there will be improvements worth celebrating.",5278.0,7.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
Services,homes.com,"""Salon""""A Goldmine of Local Intel""",Luke and Marci visit a hair salon where one of the hairdressers talks with her client about the corn festival. Marci discovers her eyebrows have been shaved off.,18989.0,57.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
Services,homes.com,"""Mascot""""Quick Question""","Luke, dressed up as the school mascot, interrupts a football huddle to ask questions about the school. Marci does the same from the stands, and they are forced to flee the scene in a helicopter.",212.0,1.0,100,True,0.0,0.0,0.0,0.0,0.0,0,True
Services,E-Trade,"""Pickle Babies""",The e-trade babies play pickleball.,13783.0,41.0,38,False,0.0,0.0,0.0,8.4,0.0,0,False
Services,Pluto TV,"""Couch Potato Farms""",Farmers plant TVs so that they can literally grow couch potatoes.,3631830.0,2387.0,58,False,0.0,0.0,0.0,0.0,0.0,0,False
Services,Crowdstrike,"""The Future""","Space aliens enter a small western town. A woman uses Crowdstrike to fend off the ""cyberattack"".",6600709.0,3335.0,1,False,0.0,0.0,4.6,0.0,0.0,0,False
Services,TurboTax,"""Make Your Moves Count""",Quinta Brunson gets help from a tax advisor. Also a QR code to enter a million-dollar sweepstakes.,161586.0,12.0,64,False,0.0,0.0,0.0,0.0,0.0,0,True
Services,Uber Eats,"""Worth Remembering""","As Jennifer Aniston picks up a delivery, she remarks that in order to remember something, you have to forget something else. David Beckham and Victoria Beckham have trouble remembering what group Victoria was a member of. Jelly Roll forgets that he got his face tattooed. Aniston forgets who David Schwimmer was.",533633.0,4462.0,50,False,0.0,0.0,6.4,0.0,0.0,0,True
Services,Booking.com,"""Tina Fey Books Whoever She Wants to Be""","Having many options in booking.com, Tina Fey can be whatever Tina Fey she can be, so she hires a number of body doubles that do the different adventures. Includes Jane Krakowski and Glenn Close.",11527.0,20.0,59,False,0.0,0.0,0.0,5.9,7.5,1,True
Services,Microsoft Copilot,"""Watch Me""","Shows various people and statements like ""they say I'll never open my own business"" but then later the words ""but I say"" and a woman says ""watch me"". Then it shows people entering phrases into Microsoft Copilot AI.",7202.0,29.0,73,False,0.0,0.0,4.8,0.0,0.0,0,False
PSA,NFL,"""Born to Play""","NFL players Saquon Barkley, Justin Jefferson, Cameron Jordan and Jeremiah Owusu-Koramoah visit Accra, Ghana in an effort to inspire kids to play American football.",1347397.0,3534.0,26,False,0.0,0.0,0.0,0.0,0.0,0,True
PSA,Foundation to Combat Antisemitism,"""Silence""","Clarence B. Jones, who helped write the draft for Martin Luther King Jr's ""I Have a Dream"" speech, remarks that all hate thrives on one thing: silence. And the thing to counter that is to stand up to silence and speak out.",19347483.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,False
PSA,He Gets Us,"""Who Is My Neighbor""","Shows pictures of various people, asks ""Who is my neighbor?"" and replies ""the one you don't notice, value, welcome"".",1014300.0,5903.0,100,True,0.0,0.0,0.0,0.0,0.0,0,False
PSA,He Gets Us,"""Foot Washing""",Shows illustration-like pictures of a person washing another person's feet.,811344.0,412.0,100,True,0.0,0.0,0.0,0.0,0.0,0,False
